,2,1,0
0,0.0,0.8,4.0
1,0.0,0.0,0.0
,2,1,0
0,0.0,1.2160000000000002,5.5448064
1,0.0,0.0,0.0
,2,1,0
0,0.0,1.4323200000000003,4.0
1,0.0,1.2583424,0.0
,2,1,0
0,0.0,1.5448064000000001,4.0
1,0.0,1.2583424,0.0
,2,1,0
0,0.0,1.1206598656,4.8
1,0.0,0.0,0.0
,2,1,0,3
0,0.0,1.1206598656,4.8,0.0
1,0.0,0.0,0.0,0.0
,2,1,0,3
0,0.0,1.3325486260224,5.2992,0.0
1,0.0,0.0,0.0,0.0
,2,1,0,3
0,0.0,1.013301945040896,5.2992,0.0
1,0.0,0.0,0.0,0.0
,2,1,0,3
0,0.0,1.002660389008179,5.2992,0.0
1,0.0,0.0,0.0,0.0
,2,1,0,3
0,0.0,0.8,5.2992,0.0
1,0.0,0.0,0.0,0.0
