,2,3
0,0.0,0.0
1,0.0,0.0
,2,3,1
0,0.0,0.0,0.72
1,0.0,0.0,0.0
,2,3,1
0,0.0,0.0,0.9216
1,0.0,0.0,0.0
,2,3,1,4
0,0.0,0.0,0.9216,0.0
1,0.0,0.0,0.0,7.199999999999999
,2,3,1,4,0
0,0.0,0.0,1.35627264,0.0,3.5999999999999996
1,0.0,0.0,0.0,7.199999999999999,0.0
,2,3,1,4,0
0,0.0,0.0,1.656370630656,0.0,4.608
1,0.0,0.0,0.0,7.199999999999999,0.0
,2,3,1,4,0
0,0.0,0.0,1.8635582834049025,0.0,4.8902399999999995
1,0.0,0.0,0.0,7.199999999999999,0.0
,2,3,1,4,0
0,0.0,0.0,1.8635582834049025,0.0,4.8902399999999995
1,0.0,0.0,0.0,9.216,0.0
,2,3,1,4,0
0,0.0,0.0,2.0066006388627446,0.0,3.5999999999999996
1,0.0,0.0,0.0,9.216,0.0
,2,3,1,4,0
0,0.0,0.0,1.2818481788815685,0.0,3.5999999999999996
1,0.0,0.0,0.0,9.216,0.0
